rank,file,score,decision,confidence,is_duplicate,duplicate_of,summary,matched_skills,missing_skills,risk_flags,explanation,analyzed_at
1,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (25).pdf,63.74,recommended_review,medium,False,,Matched 6/12 required skills.,"Software, Engineering, Junior, solid, development, Responsibilities","Intern, Developer, background, backend, integration., Key",,"Matched 6/12 required skills. Missing required skills: Intern, Developer, background, backend, integration., Key.",2026-05-25T10:49:03.699700Z
2,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (24).pdf,58.64,recommended_review,medium,False,,Matched 5/12 required skills.,"Software, Engineering, development, Key, Responsibilities","Intern, Junior, Developer, solid, background, backend, integration.",,"Matched 5/12 required skills. Missing required skills: Intern, Junior, Developer, solid, background, backend, integration..",2026-05-25T10:49:03.570168Z
3,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (26).pdf,56.12,recommended_review,medium,False,,Matched 5/12 required skills.,"Engineering, Intern, solid, development, Key","Software, Junior, Developer, background, backend, integration., Responsibilities",,"Matched 5/12 required skills. Missing required skills: Software, Junior, Developer, background, backend, integration., Responsibilities.",2026-05-25T10:49:03.795343Z
4,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (30).pdf,53.33,recommended_review,medium,False,,Matched 4/12 required skills.,"Software, Engineering, development, Responsibilities","Intern, Junior, Developer, solid, background, backend, integration., Key",,"Matched 4/12 required skills. Missing required skills: Intern, Junior, Developer, solid, background, backend, integration., Key.",2026-05-25T10:49:04.720460Z
5,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (34).pdf,53.33,recommended_review,medium,False,,Matched 4/12 required skills.,"Software, development, Key, Responsibilities","Engineering, Intern, Junior, Developer, solid, background, backend, integration.",,"Matched 4/12 required skills. Missing required skills: Engineering, Intern, Junior, Developer, solid, background, backend, integration..",2026-05-25T10:49:05.279436Z
6,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (39).pdf,53.33,recommended_review,medium,False,,Matched 4/12 required skills.,"Engineering, development, integration., Responsibilities","Software, Intern, Junior, Developer, solid, background, backend, Key",,"Matched 4/12 required skills. Missing required skills: Software, Intern, Junior, Developer, solid, background, backend, Key.",2026-05-25T10:49:06.150963Z
7,C:\Users\ASUS\Desktop\Yeni klasör (2)\AHMETB-KUŞCU-Cv.pdf,53.2,recommended_review,medium,False,,Matched 5/12 required skills.,"Software, Engineering, Developer, backend, development","Intern, Junior, solid, background, integration., Key, Responsibilities",,"Matched 5/12 required skills. Missing required skills: Intern, Junior, solid, background, integration., Key, Responsibilities.",2026-05-25T10:49:02.743840Z
8,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (32).pdf,51.05,recommended_review,medium,False,,Matched 4/12 required skills.,"Software, Engineering, Junior, development","Intern, Developer, solid, background, backend, integration., Key, Responsibilities",,"Matched 4/12 required skills. Missing required skills: Intern, Developer, solid, background, backend, integration., Key, Responsibilities.",2026-05-25T10:49:04.990903Z
9,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (23).pdf,47.5,recommended_reject,high,False,,Matched 3/12 required skills.,"Engineering, Junior, Responsibilities","Software, Intern, Developer, solid, background, backend, development, integration., Key",,"Matched 3/12 required skills. Missing required skills: Software, Intern, Developer, solid, background, backend, development, integration..",2026-05-25T10:49:03.438649Z
10,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (29).pdf,47.5,recommended_reject,high,False,,Matched 3/12 required skills.,"Engineering, Junior, Responsibilities","Software, Intern, Developer, solid, background, backend, development, integration., Key",,"Matched 3/12 required skills. Missing required skills: Software, Intern, Developer, solid, background, backend, development, integration..",2026-05-25T10:49:04.213041Z
11,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (31).pdf,47.5,recommended_reject,high,False,,Matched 3/12 required skills.,"Engineering, Developer, Responsibilities","Software, Intern, Junior, solid, background, backend, development, integration., Key",,"Matched 3/12 required skills. Missing required skills: Software, Intern, Junior, solid, background, backend, development, integration..",2026-05-25T10:49:04.875187Z
12,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (33).pdf,47.5,recommended_reject,high,False,,Matched 3/12 required skills.,"Engineering, Developer, Responsibilities","Software, Intern, Junior, solid, background, backend, development, integration., Key",,"Matched 3/12 required skills. Missing required skills: Software, Intern, Junior, solid, background, backend, development, integration..",2026-05-25T10:49:05.117531Z
13,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (22).pdf,46.8,recommended_reject,high,False,,Matched 3/12 required skills.,"Engineering, Key, Responsibilities","Software, Intern, Junior, Developer, solid, background, backend, development, integration.",,"Matched 3/12 required skills. Missing required skills: Software, Intern, Junior, Developer, solid, background, backend, development.",2026-05-25T10:49:02.844081Z
14,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (35).pdf,43.64,recommended_reject,high,False,,Matched 3/12 required skills.,"Software, Developer, Responsibilities","Engineering, Intern, Junior, solid, background, backend, development, integration., Key",,"Matched 3/12 required skills. Missing required skills: Engineering, Intern, Junior, solid, background, backend, development, integration..",2026-05-25T10:49:05.347809Z
15,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (38).pdf,41.67,recommended_reject,high,False,,Matched 2/12 required skills.,"Engineering, development","Software, Intern, Junior, Developer, solid, background, backend, integration., Key, Responsibilities",,"Matched 2/12 required skills. Missing required skills: Software, Intern, Junior, Developer, solid, background, backend, integration..",2026-05-25T10:49:05.829161Z
16,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (28).pdf,41.41,recommended_reject,high,False,,Matched 2/12 required skills.,"Engineering, Intern","Software, Junior, Developer, solid, background, backend, development, integration., Key, Responsibilities",,"Matched 2/12 required skills. Missing required skills: Software, Junior, Developer, solid, background, backend, development, integration..",2026-05-25T10:49:04.026344Z
17,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (37).pdf,35.83,recommended_reject,high,False,,Matched 1/12 required skills.,Responsibilities,"Software, Engineering, Intern, Junior, Developer, solid, background, backend, development, integration., Key",,"Matched 1/12 required skills. Missing required skills: Software, Engineering, Intern, Junior, Developer, solid, background, backend.",2026-05-25T10:49:05.699801Z
18,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (36).pdf,28.85,recommended_reject,high,False,,Matched 1/12 required skills.,development,"Software, Engineering, Intern, Junior, Developer, solid, background, backend, integration., Key, Responsibilities",,"Matched 1/12 required skills. Missing required skills: Software, Engineering, Intern, Junior, Developer, solid, background, backend.",2026-05-25T10:49:05.455093Z
19,C:\Users\ASUS\Desktop\Yeni klasör (2)\cv (27).pdf,24.69,recommended_reject,high,False,,Matched 0/12 required skills.,,"Software, Engineering, Intern, Junior, Developer, solid, background, backend, development, integration., Key, Responsibilities",,"Matched 0/12 required skills. Missing required skills: Software, Engineering, Intern, Junior, Developer, solid, background, backend.",2026-05-25T10:49:03.853963Z
